Year,State,Average Median Age by County,Average Household Income by County,Average Per Capita Income by County
2016,Alabama,40.25074626865672,38834.92537313433,21232.746268656716
2016,Alaska,36.62413793103447,64801.65517241379,31052.103448275862
2016,Arizona,39.61333333333334,44166.53333333333,21786.333333333332
2016,Arkansas,41.14,37503.72,20591.666666666668
2016,California,39.28103448275862,58091.24137931035,29025.793103448275
2016,Colorado,42.245312500000004,52243.59375,28369.71875
2016,Connecticut,41.3,72395.0,37998.125
2016,Delaware,40.800000000000004,58561.666666666664,29662.666666666668
2016,District of Columbia,33.8,72935.0,48781.0
2016,Florida,43.08656716417911,45205.37313432836,24164.462686567163
2016,Georgia,39.15849056603773,41727.54716981132,21334.98113207547
2016,Hawaii,43.64,66744.6,32644.6
2016,Idaho,39.49545454545454,44766.84090909091,22381.136363636364
2016,Illinois,41.385294117647064,51240.75490196078,26170.392156862745
2016,Indiana,40.05434782608695,50059.815217391304,24787.684782608696
2016,Iowa,41.98181818181818,51620.22222222222,27360.37373737374
2016,Kansas,41.508571428571436,48559.74285714285,25430.628571428573
2016,Kentucky,40.564166666666665,40051.058333333334,21318.166666666668
2016,Louisiana,37.4609375,41937.09375,22393.734375
2016,Maine,45.64999999999999,47553.3125,26496.125
2016,Maryland,40.65,70159.41666666667,33756.625
2016,Massachusetts,41.364285714285714,68007.28571428571,36664.42857142857
2016,Michigan,44.131325301204825,45654.156626506025,24387.87951807229
2016,Minnesota,41.809195402298855,55559.85057471264,28533.758620689656
2016,Mississippi,38.031707317073156,35626.41463414634,19353.09756097561
2016,Missouri,41.15913043478261,42781.321739130435,22047.104347826087
2016,Montana,44.4375,45575.67857142857,25891.98214285714
2016,Nebraska,43.60752688172043,49953.92473118279,26914.74193548387
2016,Nevada,42.34705882352941,55360.17647058824,27107.470588235294
2016,New Hampshire,43.96000000000001,62390.9,32780.7
2016,New Jersey,40.6,74407.66666666667,37057.333333333336
2016,New Mexico,41.32121212121212,40088.818181818184,22062.090909090908
2016,New York,41.10645161290323,56478.3870967742,28935.6935483871
2016,North Carolina,41.94299999999999,42707.56,23173.85
2016,North Dakota,43.222641509433956,57219.88679245283,32847.64150943396
2016,Ohio,40.673863636363656,49741.875,25190.284090909092
2016,Oklahoma,39.279220779220786,45040.5974025974,23327.68831168831
2016,Oregon,43.64166666666667,46481.13888888889,25212.63888888889
2016,Pennsylvania,42.76716417910449,51513.014925373136,26685.955223880595
2016,Puerto Rico,39.18974358974357,18200.73076923077,9870.653846153846
2016,Rhode Island,42.64,66994.8,36781.6
2016,South Carolina,40.650000000000006,40876.19565217391,22105.91304347826
2016,South Dakota,40.64848484848485,48783.77272727273,26209.378787878788
2016,Tennessee,41.72947368421054,41394.17894736842,22171.147368421054
2016,Texas,38.966929133858244,48039.81496062992,24076.55905511811
2016,Utah,34.06206896551724,56679.137931034486,23353.793103448275
2016,Vermont,44.24285714285714,53851.28571428572,29297.64285714286
2016,Virginia,41.57669172932331,54078.41353383459,27781.398496240603
2016,Washington,41.710256410256406,51859.743589743586,26547.923076923078
2016,West Virginia,43.49090909090908,40361.70909090909,22165.036363636365
2016,Wisconsin,43.03333333333335,51908.88888888889,27172.347222222223
2016,Wyoming,39.81304347826086,57060.13043478261,29585.130434782608
2017,Alabama,40.44925373134328,40271.40298507463,22180.492537313432
2017,Alaska,36.9448275862069,66425.44827586207,31670.55172413793
2017,Arizona,39.93333333333333,45816.666666666664,22712.2
2017,Arkansas,41.330666666666666,39025.08,21449.306666666667
2017,California,39.47413793103449,61046.75862068965,30416.48275862069
2017,Colorado,42.27656250000002,54353.5625,29647.046875
2017,Connecticut,41.574999999999996,74496.0,39419.125
2017,Delaware,41.13333333333333,61294.666666666664,31278.333333333332
2017,District of Columbia,33.9,77649.0,50832.0
2017,Florida,43.30298507462686,47144.32835820896,25265.97014925373
2017,Georgia,39.52389937106918,43268.78616352201,22305.30188679245
2017,Hawaii,44.06,68663.0,33930.6
2017,Idaho,39.89318181818181,46171.931818181816,23335.0
2017,Illinois,41.549019607843135,52930.382352941175,27255.21568627451
2017,Indiana,40.158695652173904,51877.40217391304,25817.608695652172
2017,Iowa,41.926262626262634,53436.080808080806,28497.666666666668
2017,Kansas,41.44285714285714,50022.57142857143,26215.561904761904
2017,Kentucky,40.710833333333326,41470.49166666667,22172.175
2017,Louisiana,37.70312499999999,42654.078125,22939.03125
2017,Maine,45.90625000000001,49680.8125,27791.3125
2017,Maryland,40.82916666666667,72541.16666666667,35127.791666666664
2017,Massachusetts,41.557142857142864,71030.71428571429,38478.71428571428
2017,Michigan,44.33855421686747,47530.51807228916,25595.710843373494
2017,Minnesota,41.82528735632184,57530.0,29711.57471264368
2017,Mississippi,38.15365853658537,37018.71951219512,20127.743902439026
2017,Missouri,41.286086956521714,44435.30434782609,23019.486956521738
2017,Montana,44.29821428571429,47746.75,27103.196428571428
2017,Nebraska,43.535483870967724,51928.354838709674,27940.795698924732
2017,Nevada,43.017647058823535,56859.0,28215.352941176472
2017,New Hampshire,44.2,64901.9,34212.9
2017,New Jersey,40.790476190476184,77047.76190476191,38538.619047619046
2017,New Mexico,41.609090909090924,41197.21212121212,22967.0
2017,New York,41.26612903225805,58309.25806451613,30045.354838709678
2017,North Carolina,42.18899999999999,44551.67,24339.2
2017,North Dakota,43.15094339622642,59795.96226415094,34084.22641509434
2017,Ohio,40.77727272727276,51742.204545454544,26332.69318181818
2017,Oklahoma,39.3077922077922,46219.857142857145,23887.61038961039
2017,Oregon,43.76666666666668,48502.5,26512.25
2017,Pennsylvania,42.93134328358209,53281.880597014926,27757.014925373136
2017,Puerto Rico,39.919230769230765,18412.94871794872,10244.961538461539
2017,Rhode Island,42.76,69906.4,38342.6
2017,South Carolina,40.89130434782609,42126.782608695656,22959.347826086956
2017,South Dakota,40.522727272727266,50408.742424242424,27241.60606060606
2017,Tennessee,41.85263157894735,43016.61052631579,23161.305263157894
2017,Texas,39.0192913385827,49894.33858267716,24859.01968503937
2017,Utah,34.241379310344826,59208.75862068965,24433.758620689656
2017,Vermont,44.57142857142856,55252.71428571428,30572.928571428572
2017,Virginia,41.75413533834587,56270.03759398496,28912.0
2017,Washington,41.84102564102565,54112.46153846154,27839.102564102563
2017,West Virginia,43.72000000000001,41701.90909090909,22859.618181818183
2017,Wisconsin,43.21666666666669,53849.416666666664,28390.166666666668
2017,Wyoming,39.80000000000001,59065.217391304344,30665.434782608696
2018,Alabama,40.63134328358209,41828.014925373136,23072.83582089552
2018,Alaska,36.97241379310344,67802.4827586207,32531.206896551725
2018,Arizona,40.23333333333333,47545.666666666664,23459.4
2018,Arkansas,41.428000000000004,40786.8,22442.733333333334
2018,California,39.60689655172414,64378.55172413793,32089.620689655174
2018,Colorado,42.485937500000006,56450.03125,30695.40625
2018,Connecticut,41.699999999999996,77068.875,41021.25
2018,Delaware,41.56666666666667,63541.333333333336,32643.333333333332
2018,District of Columbia,33.9,82604.0,53321.0
2018,Florida,43.56716417910448,49046.35820895522,26438.432835820895
2018,Georgia,39.73270440251571,45218.654088050316,23416.930817610064
2018,Hawaii,44.1,71935.4,35526.0
2018,Idaho,40.056818181818194,48432.38636363636,24397.136363636364
2018,Illinois,41.74019607843139,54839.617647058825,28297.50980392157
2018,Indiana,40.247826086956536,53914.510869565216,26846.782608695652
2018,Iowa,41.88787878787879,55159.92929292929,29415.60606060606
2018,Kansas,41.44761904761902,51182.933333333334,26895.514285714286
2018,Kentucky,40.802500000000016,43063.575,23117.958333333332
2018,Louisiana,37.84375,43324.59375,23582.078125
2018,Maine,46.26875,51550.1875,28983.25
2018,Maryland,40.94583333333333,74890.70833333333,36541.666666666664
2018,Massachusetts,41.69285714285714,74596.28571428571,40222.42857142857
2018,Michigan,44.57590361445782,49833.4578313253,26889.590361445782
