YEAR,AMI,RACE,TENURE,AGE,TOTAL,BURDEN30,BURDEN3050,BURDEN50,NODATA,NOBURDEN,PERCENT30,PERCENT3050,PERCENT50,PERCENT_NODATA,PERCENT_NOBURDEN,INCOME,COSTS,ObjectId
2006,Above 120%,Native,Renters,Seniors,0,0,0,0,0,0,,,,,,,NA,1
2006,Above 120%,Native,Renters,Children,0,0,0,0,0,0,,,,,,,NA,2
2006,Above 120%,Asian,All,All,33864,5655,4488,1167,0,28209,0.166991495393338,0.132530120481928,0.0344613749114103,0,0.833008504606662,146287.70659107,2473.83237271854,3
2006,Above 120%,Asian,All,Seniors,1718,517,360,157,0,1201,0.30093131548312,0.209545983701979,0.0913853317811409,0,0.69906868451688,147017.508731083,2508.57490396927,4
2006,Above 120%,Asian,All,Children,3703,504,436,68,0,3199,0.136105860113422,0.1177423710505,0.018363489062922,0,0.863894139886578,161444.756143667,2873.53223684211,5
2006,Above 120%,Asian,Owners,All,27066,5580,4413,1167,0,21486,0.206162713367324,0.163045887829749,0.0431168255375748,0,0.793837286632676,152446.174610212,2473.83237271854,6
2006,Above 120%,Asian,Owners,Seniors,1562,517,360,157,0,1045,0.330985915492958,0.230473751600512,0.100512163892446,0,0.669014084507042,152593.90524968,2508.57490396927,7
2006,Above 120%,Asian,Owners,Children,3040,504,436,68,0,2536,0.165789473684211,0.143421052631579,0.0223684210526316,0,0.83421052631579,174430.898684211,2873.53223684211,8
2006,Above 120%,Asian,Renters,All,6798,75,75,0,0,6723,0.0110326566637246,0.0110326566637246,0,0,0.988967343336275,121767.980876728,NA,9
2006,Above 120%,Asian,Renters,Seniors,156,0,0,0,0,156,0,0,0,0,1,91182.0512820513,NA,10
2006,Above 120%,Asian,Renters,Children,663,0,0,0,0,663,0,0,0,0,1,101900.452488688,NA,11
2006,Above 120%,Hispanic,All,All,9157,979,979,0,0,8178,0.106912744348586,0.106912744348586,0,0,0.893087255651414,129496.256415857,2331.07155860524,12
2006,Above 120%,Hispanic,All,Seniors,407,118,118,0,0,289,0.28992628992629,0.28992628992629,0,0,0.71007371007371,107717.199017199,1311.88452088452,13
2006,Above 120%,Hispanic,All,Children,767,60,60,0,0,707,0.0782268578878748,0.0782268578878748,0,0,0.921773142112125,146112.750977836,3402.0853485064,14
2006,Above 120%,Hispanic,Owners,All,7141,979,979,0,0,6162,0.137095644867666,0.137095644867666,0,0,0.862904355132334,134828.5842319,2331.07155860524,15
2006,Above 120%,Hispanic,Owners,Seniors,407,118,118,0,0,289,0.28992628992629,0.28992628992629,0,0,0.71007371007371,107717.199017199,1311.88452088452,16
2006,Above 120%,Hispanic,Owners,Children,703,60,60,0,0,643,0.085348506401138,0.085348506401138,0,0,0.914651493598862,151676.358463727,3402.0853485064,17
2006,Above 120%,Hispanic,Renters,All,2016,0,0,0,0,2016,0,0,0,0,1,110608.283730159,NA,18
2006,Above 120%,Hispanic,Renters,Seniors,0,0,0,0,0,0,,,,,,,NA,19
2006,Above 120%,Hispanic,Renters,Children,64,0,0,0,0,64,0,0,0,0,1,85000,NA,20
2006,All,All,All,All,752174,286746,160058,126688,4856,460572,0.381222961708328,0.212793848231925,0.168429113476403,0.00645595301087248,0.612321085280799,82522.5399016717,1851.42853722716,21
2006,All,All,All,Seniors,116808,44739,21251,23488,564,71505,0.383013149784261,0.181931032121088,0.201082117663174,0.00482843640846517,0.612158413807273,61313.0879134991,1182.34723770712,22
2006,All,All,All,Children,58265,25964,12626,13338,267,32034,0.445619153865957,0.216699562344461,0.228919591521497,0.00458251094138848,0.549798335192654,87037.3721273492,2180.46726133991,23
2006,All,All,Owners,All,463640,159900,98113,61787,1854,301886,0.344879648002761,0.211614614787335,0.133265033215426,0.00399879216633595,0.651121559830903,103892.406878181,1851.42853722716,24
2006,All,All,Owners,Seniors,78033,23670,11380,12290,148,54215,0.303333205182423,0.145835736162905,0.157497469019517,0.00189663347558084,0.694770161341996,74864.5279945664,1182.34723770712,25
2006,All,All,Owners,Children,36883,15026,9252,5774,56,21801,0.407396361467343,0.250847273811783,0.156549087655559,0.00151831467071551,0.591085323861942,110688.742971016,2180.46726133991,26
2006,All,All,Renters,All,288534,126846,61945,64901,3002,158686,0.439622366861444,0.214688736855968,0.224933630005476,0.0104043197682076,0.549973313370348,48183.6920536228,NA,27
2006,All,All,Renters,Seniors,38775,21069,9871,11198,416,17290,0.543365570599613,0.254571244358478,0.288794326241135,0.0107285622179239,0.445905867182463,34041.4045132173,NA,28
2006,All,All,Renters,Children,21382,10938,3374,7564,211,10233,0.511551772518941,0.15779627724254,0.353755495276401,0.00986811336638294,0.478580114114676,46239.8082499298,NA,29
2006,All,White,All,All,558259,202975,118347,84628,2840,352444,0.363585719173359,0.21199299966503,0.151592719508329,0.00508724445105229,0.631327036375589,86590.1906158253,1826.62956048572,30
2006,All,White,All,Seniors,98697,35798,17432,18366,500,62399,0.362706059961296,0.176621376536268,0.186084683425028,0.00506601011175618,0.632227929926948,64283.8621336008,1151.47779730692,31
