COUNTRY OF NATIONALITY,ALONE,WITH SPOUSE,WITH CHILDREN,WITH FAMILY/RELATIVES,STUDENT GROUP,WITH FRIENDS,WITH BUSINESS ACCOCIATE,WITH INCENTIVE GROUP,OTHERS
SINGAPORE,18.6,35.5,3.9,23.7,0.1,14.7,2.2,0.4,0.8
THAILAND,30.1,16.7,0.9,12,3.1,30.2,4.8,1,1.2
INDONESIA,12.9,24.6,3.8,37.9,0.9,14.9,2.1,1.6,1.2
BRUNEI,10.2,24.9,2.2,44.5,0,16.2,1.1,0.1,0.7
PHILIPPINES,13.9,27.5,1.5,15,5.5,34.1,1.1,0,1.5
VIETNAM,5.8,11.5,0.6,31,0.6,35.5,2.7,7.4,5
CHINA,4.2,30.9,0.7,37.8,0.5,18.4,1.3,2.4,3.7
JAPAN,10.9,26.5,0.6,16.4,0.8,18.4,25.6,0.3,0.6
SOUTH KOREA,9.4,36.3,0.6,16.3,0,28.1,8.1,0,1.3
TAIWAN,7.8,55.7,1.2,24.6,0,9.3,0.3,0.6,0.6
INDIA,5.9,30.1,1.3,44.3,0,12.1,3.3,1.5,1.6
PAKISTAN,12.3,21.3,1.3,28.3,2.5,16.5,8,9,1
SAUDI ARABIA,3.3,53.9,0.4,36.5,0.2,4.7,0.9,0,0
UNITED ARAB EMIRATES,11.6,51.2,4.7,20.9,0,7,4.7,0,0
OMAN,11.3,35.5,1.6,50,0,0,1.6,0,0
KUWAIT,0,75,0,25,0,0,0,0,0
IRAN,3.5,18.9,0.2,60.5,0,15.2,0.9,0.7,0.2
CANADA,27.6,38.7,1.1,7.5,0,24.2,0.9,0,0
USA,29.5,40.8,0.7,6.2,0.1,18.1,4,0,0.6
UNITED KINGDOM,23,42.7,0.4,9.6,0.2,22.1,2,0,0.1
IRELAND,25.3,44.8,1.1,10.3,2.3,16.1,0,0,0
SWEDEN,12.4,47.9,1.3,17.9,0,18.8,0.9,0,0.9
DENMARK,11.9,31.9,3,19.3,0,31.1,3,0,0
FINLAND,20.1,41.5,2.5,15.1,0,17.6,2.5,0,0.6
NORWAY,18.6,47.5,0,1.7,0,32.2,0,0,0
ITALY,15,40.9,0.8,7.9,0,30.7,4.3,0,0.4
SPAIN,14.2,41.6,0.4,5.3,0,35.8,2.7,0,0
FRANCE,19.4,40,0.9,14,0.2,22.4,1.4,0.1,1.6
BELGIUM,31.2,19.4,2.2,18.3,0,29,0,0,0
NETHERLANDS,17.5,34.6,1.9,19.6,1.3,23.2,1.9,0,0
GERMANY,19.3,42.1,0.5,7.7,0.3,27.4,2.7,0,0
SWITZERLAND,21.3,44.3,0.9,8.3,0.9,23,0.4,0,0.9
RUSSIA,28.6,26.5,1.6,15.3,0,26.5,1.6,0,0
AUSTRALIA,18.3,45.8,0.7,14.4,0.5,17.5,1.6,0.1,1.1
NEW ZEALAND,11.4,43.4,0.3,17.8,0.3,21.5,5.1,0,0
SOUTH AFRICA,39.7,37,0,11,0,8.2,4.1,0,0
CENTRAL ASIA,11.4,23.8,0.9,17.3,2.8,29,2.2,8.3,4.3
OTHER ASEAN,31.4,5.7,0,8.6,0,48.6,5.7,0,0
OTHER EAST ASIA,0,0,0,0,0,0,0,0,0
OTHERS SOUTH ASIA,2.7,15.3,2.7,39.6,7.2,13.5,8.1,10.8,0
OTHERS WEST ASIA,9.3,29,1.4,33.8,0.3,19.7,4.8,0,1.7
OTHERS AMERICAS,28.5,36.3,3.4,11.7,0,18.4,1.7,0,0
OTHERS EUROPE,23.2,39.9,0.6,11.7,0,21.7,2.7,0,0.2
OTHERS,16.7,27.5,1.3,24.5,0.9,21.6,2.9,2.6,2
