COUNTRY OF NATIONALITY,ALONE,WITH SPOUSE,WITH CHILDREN,WITH FAMILY/RELATIVES,STUDENT GROUP,WITH FRIENDS,WITH BUSINESS ACCOCIATE,WITH INCENTIVE GROUP,OTHERS
SINGAPORE,20.6,39.4,5.9,22.9,0.2,9.3,1.1,0.1,0.5
THAILAND,23.2,17.8,4.2,11.8,4.4,29.3,4.8,2.7,1.8
INDONESIA,10.4,28,3.9,34.9,0.9,15.5,2.7,2.3,1.4
BRUNEI,6.8,21.2,2.2,54.5,0.1,14.2,0.8,0,0
PHILIPPINES,3.5,7.6,0.2,40,0.2,46.4,1.9,0.1,0.2
VIETNAM,2.8,11.5,0.7,37,0.2,32.5,1.1,8.2,5.8
CHINA,1.9,30.4,0.7,42,0.2,20.4,0.5,1.7,2.2
JAPAN,8.4,30.3,0,20,5.7,25.4,8.5,0.8,0.8
SOUTH KOREA,4.6,36.8,1.3,33.2,2.5,19.5,1.6,0,0.6
TAIWAN,1.5,55.7,0.2,36.3,0,5.2,0.2,0.3,0.7
INDIA,4.8,23.9,0.5,53,0,11.3,2.1,2.9,1.6
PAKISTAN,6.4,20.3,0.6,31.6,1.8,16.4,6.4,15.1,1.5
SAUDI ARABIA,3.1,48.4,0.4,43.6,0,4,0.4,0,0
UNITED ARAB EMIRATES,4.3,14.9,0,61.7,0,10.6,0,0,8.5
OMAN,0.9,33.3,0,52.6,0.9,12.3,0,0,0
KUWAIT,3.7,14.8,0,81.5,0,0,0,0,0
IRAN,1.4,22.1,0.7,63.8,0,9.9,1.4,0.4,0.4
CANADA,28.9,33.4,0.2,4.1,0.2,32.6,0.3,0,0.3
USA,21.7,40.1,1.6,8.9,1.6,22.8,2.3,0.3,0.8
UNITED KINGDOM,15.5,46.3,0.3,13.7,0,20.1,2.6,0.1,1.3
IRELAND,17.2,48.4,0,11.9,0,21.1,0,0,1.4
SWEDEN,11.4,48.4,0,17.8,0,20.3,0,0,2.1
DENMARK,26.1,20.9,1.5,14.9,1.5,32.1,3,0,0
FINLAND,8.3,35.2,0.7,4.8,0,49.7,0.7,0,0.7
NORWAY,27.6,51.7,0,10.3,0,10.3,0,0,0
ITALY,21.3,34.1,0.7,8.9,0,27.1,7.1,0,0.7
SPAIN,10.8,34,0.3,12.1,0,41.3,1,0,0.3
FRANCE,18.7,36.7,1.2,16.9,0,25.2,0.2,0,1.1
BELGIUM,26.5,37.2,1.4,14.1,0,19.4,0,0,1.4
NETHERLANDS,12.5,40.4,0.5,22.7,0.5,22.7,0.8,0,0
GERMANY,16.8,38.6,0.6,6.5,0,36.1,1.3,0,0.1
SWITZERLAND,28.7,28.7,0,6.5,0,35.6,0.5,0,0
RUSSIA,14.4,29.6,2.7,23.4,0,29.2,0.7,0,0
AUSTRALIA,15,40.1,0.4,12.1,0.1,29.7,0.9,0,1.6
NEW ZEALAND,12.1,41.3,0,18.5,0,25.4,2.2,0,0.4
SOUTH AFRICA,24.2,42.4,0,27.3,0,6.1,0,0,0
CENTRAL ASIA,6.5,27.8,2,29.8,2.8,21.4,3.2,3.6,2.8
OTHER ASEAN,6.7,17.8,2.2,33.3,0,33.4,0,0,6.7
OTHER EAST ASIA,3,16.2,0,48.1,2,24.5,2,4.1,0
OTHERS SOUTH ASIA,6,27.7,0.6,43.4,0,18.7,3.6,0,0
OTHERS WEST ASIA,17.1,30.2,2.1,10.6,0,39.3,0.7,0,0
OTHERS AMERICAS,15.6,34.3,0.8,17.8,0,30.4,0.9,0,0.2
OTHERS EUROPE,8.5,31.2,1.1,36,1.1,18.3,1.8,1.1,0.8
OTHERS,18.3,57.1,9.7,7.5,1.6,1.9,3.9,0,0
